thread,a,tentativa,medicao,binario,fase,r,x,f1,f2,tempo,tempo_hadamard,tempo_modexp,tempo_qft,success
9,327,1,156,10011100,0.152344,256,-531,1,1,0.147762,0.0019258,0.0016649,0.0017073,0
7,48,1,156,10011100,0.152344,256,-531,1,1,0.151338,0.0017694,0.0018677,0.002042,0
8,372,1,714,11001010,0.697266,512,-531,1,1,0.154543,0.0017619,0.0020013,0.0042225,0
4,53,1,206,11001110,0.201172,512,-531,1,1,0.160673,0.0034443,0.0027378,0.0031743,0
6,252,1,405,10010101,0.395508,445,-531,1,1,0.162878,0.0036389,0.0025633,0.002731,0
0,200,1,829,00111101,0.80957,520,-531,1,1,0.164462,0.002809,0.0026032,0.0016903,0
3,270,1,551,00100111,0.538086,407,-531,1,1,0.177686,0.002653,0.0036646,0.0027852,0
1,293,1,400,10010000,0.390625,64,-531,1,1,0.173102,0.0027001,0.0020394,0.0028652,0
5,305,1,201,11001001,0.196289,377,-531,1,1,0.181475,0.0036102,0.0026294,0.0031054,0
10,490,1,927,10011111,0.905273,95,-531,1,1,0.186359,0.0020676,0.0025922,0.0021034,0
2,79,1,288,00100000,0.28125,32,-531,1,1,0.190642,0.0035573,0.0033854,0.0029904,0
8,372,2,631,01110111,0.616211,185,-531,1,1,0.0802341,0.00162,0.0015746,0.0016158,0
9,327,2,626,01110010,0.611328,512,-531,1,1,0.0990087,0.0021753,0.0018438,0.0020816,0
0,200,2,609,01100001,0.594727,417,-531,1,1,0.0827286,0.001767,0.0018309,0.0018014,0
6,252,2,466,11010010,0.455078,512,-531,1,1,0.100532,0.0021313,0.0018902,0.0024606,0
7,48,2,417,10100001,0.407227,415,-531,1,1,0.11503,0.0026562,0.0024915,0.0028731,0
4,53,2,703,10111111,0.686523,319,-531,1,1,0.111129,0.0022853,0.0022129,0.0024277,0
10,490,2,10,00001010,0.00976562,512,-531,1,1,0.0903528,0.0029947,0.0026609,0.0019031,0
1,293,2,224,11100000,0.21875,32,-531,1,1,0.111456,0.0020155,0.0025985,0.0024724,0
3,270,2,393,10001001,0.383789,185,-531,1,1,0.111528,0.0020347,0.0024602,0.0021098,0
5,305,2,607,01011111,0.592773,415,-531,1,1,0.120915,0.0024971,0.0023889,0.0023292,0
2,79,2,977,11010001,0.954102,305,-531,1,1,0.115326,0.0026261,0.0023838,0.0031382,0
8,372,3,404,10010100,0.394531,256,-531,1,1,0.0980426,0.0017078,0.0018354,0.001948,0
9,327,3,397,10001101,0.387695,325,-531,1,1,0.10149,0.0018725,0.0019316,0.0017967,0
0,200,3,1018,11111010,0.994141,512,-531,1,1,0.0953839,0.0024892,0.0026562,0.002651,0
6,252,3,945,10110001,0.922852,337,-531,1,1,0.102755,0.0020664,0.0022253,0.0022872,0
7,48,3,674,10100010,0.658203,512,-531,1,1,0.103253,0.0027157,0.0025116,0.0026339,0
4,53,3,569,00111001,0.555664,529,-531,1,1,0.107612,0.0029687,0.0029515,0.0033365,0
10,490,3,641,10000001,0.625977,385,-531,1,1,0.11168,0.0031364,0.00232,0.0022122,0
1,293,3,28,00011100,0.0273438,256,-531,1,1,0.109292,0.00273,0.002254,0.0023342,0
3,270,3,867,01100011,0.84668,437,-531,1,1,0.120503,0.0027585,0.0025981,0.0025895,0
5,305,3,892,01111100,0.871094,256,-531,1,1,0.111275,0.0022388,0.0023196,0.0022812,0
2,79,3,807,00100111,0.788086,151,-531,1,1,0.118383,0.0033693,0.0029113,0.0026062,0
8,372,4,554,00101010,0.541016,512,-531,1,1,0.0962321,0.0016938,0.0023576,0.0024767,0
0,200,4,261,00000101,0.254883,514,-531,1,1,0.0935442,0.0024399,0.0020217,0.0017223,0
9,327,4,139,10001011,0.135742,221,-531,1,1,0.105222,0.0024477,0.002421,0.0023575,0
6,252,4,561,00110001,0.547852,303,-531,1,1,0.0881827,0.0028056,0.0027035,0.0027193,0
4,53,4,202,11001010,0.197266,512,-531,1,1,0.0844089,0.0032113,0.0021946,0.0028357,0
7,48,4,146,10010010,0.142578,512,-531,1,1,0.105783,0.0023568,0.0016567,0.0017689,0
10,490,4,325,01000101,0.317383,397,-531,1,1,0.102622,0.0027694,0.0030505,0.0032165,0
3,270,4,394,10001010,0.384766,512,-531,1,1,0.0837495,0.0031462,0.0028699,0.0030508,0
1,293,4,804,00100100,0.785156,256,-531,1,1,0.0960081,0.0029076,0.0024131,0.0028995,0
5,305,4,838,01000110,0.818359,512,-531,1,1,0.0910273,0.0039823,0.0037196,0.0022506,0
2,79,4,662,10010110,0.646484,512,-531,1,1,0.0859483,0.0028648,0.0022156,0.003078,0
8,372,5,286,00011110,0.279297,512,-531,1,1,0.0914198,0.0018719,0.0018038,0.0017378,0
0,200,5,395,10001011,0.385742,477,-531,1,1,0.0757958,0.0020267,0.001732,0.001853,0
6,252,5,574,00111110,0.560547,512,-531,1,1,0.0842772,0.0022223,0.0023772,0.0026242,0
4,53,5,183,10110111,0.178711,263,-531,1,1,0.0823026,0.0021988,0.0026098,0.0023568,0
9,327,5,937,10101001,0.915039,153,-531,1,1,0.108549,0.0025202,0.0022042,0.0016511,0
1,293,5,210,11010010,0.205078,512,-531,1,1,0.0816674,0.0023233,0.0020981,0.0021291,0
10,490,5,160,10100000,0.15625,32,-531,1,1,0.0918878,0.0025936,0.0024902,0.0027329,0
3,270,5,224,11100000,0.21875,32,-531,1,1,0.0958283,0.0027643,0.0024827,0.0019397,0
7,48,5,916,10010100,0.894531,256,-531,1,1,0.106251,0.0027212,0.0024894,0.0026335,0
5,305,5,285,00011101,0.27832,309,-531,1,1,0.0954405,0.0028277,0.0024758,0.0027203,0
2,79,5,348,01011100,0.339844,256,-531,1,1,0.0933763,0.0039292,0.0031938,0.0023012,0
0,200,6,166,10100110,0.162109,512,-531,1,1,0.0810927,0.0041467,0.0034675,0.0026319,0
8,372,6,587,01001011,0.573242,157,-531,1,1,0.0853007,0.0041804,0.0028207,0.0031736,0
6,252,6,896,10000000,0.875,8,-531,1,1,0.0801761,0.0026399,0.0026265,0.0024631,0
9,327,6,375,01110111,0.366211,527,-531,1,1,0.0804149,0.0016729,0.0020211,0.0026758,0
1,293,6,400,10010000,0.390625,64,-531,1,1,0.0723229,0.0028862,0.0024334,0.0023493,0
4,53,6,142,10001110,0.138672,512,-531,1,1,0.110259,0.0025497,0.0027558,0.0026885,0
10,490,6,392,10001000,0.382812,128,-531,1,1,0.0841579,0.002197,0.0018444,0.0027232,0
7,48,6,349,01011101,0.34082,267,-531,1,1,0.0876379,0.0029559,0.0033505,0.0033175,0
3,270,6,393,10001001,0.383789,185,-531,1,1,0.0894591,0.0025058,0.0026809,0.0020658,0
8,372,7,961,11000001,0.938477,65,-531,1,1,0.0863427,0.0030159,0.0029099,0.0027739,0
2,79,6,793,00011001,0.774414,297,-531,1,1,0.096773,0.0030882,0.0030846,0.0029116,0
0,200,7,160,10100000,0.15625,32,-531,1,1,0.0963309,0.0025631,0.0026638,0.0028945,0
5,305,6,44,00101100,0.0429688,256,-531,1,1,0.110391,0.0040483,0.0037041,0.0032815,0
6,252,7,962,11000010,0.939453,512,-531,1,1,0.0838516,0.0046973,0.004405,0.0034023,0
9,327,7,343,01010111,0.334961,409,-531,1,1,0.0830764,0.0017422,0.0016097,0.0015515,0
10,490,7,52,00110100,0.0507812,256,-531,1,1,0.0823374,0.0018845,0.0018099,0.0017057,0
1,293,7,993,11100001,0.969727,529,-531,1,1,0.105281,0.0024601,0.0024183,0.0024371,0
7,48,7,6,00000110,0.00585938,512,-531,1,1,0.0876021,0.0023632,0.0022758,0.0021523,0
3,270,7,159,10011111,0.155273,161,-531,1,1,0.0934734,0.0030266,0.0020464,0.0024731,0
2,79,7,34,00100010,0.0332031,512,-531,1,1,0.0803181,0.0024023,0.0027746,0.0026734,0
4,53,7,875,01101011,0.854492,323,-531,1,1,0.114243,0.0025185,0.0027704,0.0026897,0
0,200,8,73,01001001,0.0712891,519,-531,1,1,0.0799866,0.0021123,0.0022839,0.0026723,0
8,372,8,719,11001111,0.702148,47,-531,1,1,0.096859,0.0030298,0.0026603,0.0024942,0
5,305,7,471,11010111,0.459961,487,-531,1,1,0.0865223,0.0026736,0.0025055,0.0025002,0
6,252,8,78,01001110,0.0761719,512,-531,1,1,0.0964842,0.0029147,0.002566,0.0028109,0
